STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080820 08:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080820 09:00,0.3, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080820 10:00,0.6, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080820 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080820 16:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080821 13:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080821 14:00,1.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080823 10:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080823 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 04:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 06:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 07:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 12:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 20:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080824 21:00,0.5, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080825 14:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080825 15:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080825 16:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080901 01:00,0,g, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080901 08:00,999.99,{, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080904 08:00,999.99,}, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080906 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080906 19:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080908 06:00,0.6, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080908 12:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080913 08:00,0.3, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080913 09:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080913 15:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080914 08:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080918 10:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080918 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080918 21:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080919 07:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080919 20:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081001 01:00,0,g, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081001 12:00,999.99,[, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081020 14:00,999.99,], 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081022 08:00,999.99,{, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081025 00:00,999.99,}, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081101 01:00,0,g, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081102 12:00,999.99,[, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081201 00:00,999.99,], 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20081201 01:00,999.99,[, 
